run,subrun,event,x,y,z
5001,15,765,18.6098,0.0,490.2
5001,17,888,242.986,0.0,544.5
5001,18,936,136.063,0.0,784.8
5001,53,2690,101.518,0.0,438
5001,59,2977,163.532,0.0,940.2
5001,73,3651,1.5601,0.0,652.8
5002,14,749,53.6007,0.0,924.9
5002,15,751,92.1575,0.0,427.8
5002,53,2683,107.034,0.0,585
5005,23,1192,239.754,0.0,650.7
5005,25,1253,78.7852,0.0,642.6
5005,27,1357,272.516,0.0,844.2
5005,37,1863,268.338,0.0,199.5
5005,71,3594,25.5188,0.0,632.1
5005,114,5741,145.201,0.0,534.6
5005,147,7397,94.1633,0.0,954.6
5005,159,7983,59.451,0.0,561.6
5005,180,9010,119.682,0.0,316.8
5005,193,9671,4.17885,0.0,502.5
5005,197,9895,102.075,0.0,606.3
5011,34,1737,148.767,0.0,750
5011,35,1762,112.662,0.0,774.3
5011,37,1886,220.03,0.0,466.8
5013,144,7226,56.3308,0.0,204.3
5013,149,7460,38.7797,0.0,627
5013,150,7540,38.5011,0.0,682.5
5014,1,56,136.453,0.0,37.2
5015,5,255,26.466,0.0,636.9
5015,25,1258,132.72,0.0,297
5015,25,1265,274.021,0.0,835.2
5016,23,1187,140.576,0.0,634.2
5016,24,1214,13.428,0.0,481.8
5016,31,1594,159.242,0.0,33.9
5016,51,2599,-2.50731,0.0,783
5016,58,2924,11.7008,0.0,590.4
5016,58,2950,274.244,0.0,854.1
5016,62,3108,195.069,0.0,75.9
5016,98,4913,188.661,0.0,484.2
5017,33,1671,-3.56595,0.0,165.3
5017,41,2058,135.506,0.0,614.1
5019,26,1344,188.772,0.0,211.8
5019,48,2408,170.887,0.0,357.9
5019,49,2499,235.52,0.0,136.5
5019,53,2687,82.6854,0.0,548.7
5019,71,3591,95.5563,0.0,468.9
5023,1,78,-6.07326,0.0,456.3
5024,21,1055,186.265,0.0,432.6
5025,3,154,71.8761,0.0,501.3
5025,22,1129,5.18177,0.0,897
5025,52,2648,29.9763,0.0,391.2
5025,53,2660,29.8091,0.0,425.7
5025,142,7132,218.359,0.0,148.8
5027,9,486,21.3957,0.0,500.7
5027,13,657,147.485,0.0,194.7
5029,14,729,243.042,0.0,592.5
5029,17,851,166.82,0.0,466.5
5029,68,3423,113.999,0.0,616.2
5029,82,4135,186.321,0.0,589.2
5029,90,4540,211.004,0.0,651.3
5029,91,4598,238.863,0.0,542.7
5029,104,5207,252.848,0.0,536.4
5029,107,5368,156.122,0.0,895.8
5029,107,5397,152.667,0.0,513
5029,168,8439,13.7623,0.0,691.5
5029,181,9069,233.124,0.0,907.5
5030,0,1,152.444,0.0,524.4
