run,subrun,event,x,y,z
5485,35,1778,59.1287,0.0,164.7
5487,69,3496,176.484,0.0,301.881
5489,80,4019,138.31,0.0,609.238
5495,22,1110,20.4387,0.0,227.655
5497,63,3171,215.331,0.0,925.222
5499,44,2250,103.401,0.0,811.451
5499,52,2636,120.42,0.0,165.867
5499,190,9541,160.755,0.0,572.991
5500,18,944,45.2951,0.0,537.974
5501,64,3228,189.506,0.0,251.59
5504,8,430,200.556,0.0,819.55
5506,5,294,233.418,0.0,923.03
5506,29,1474,145.341,0.0,139.941
5508,9,493,180.447,0.0,329.228
5508,22,1147,137.928,0.0,437.07
5508,55,2758,110.884,0.0,293.959
5508,75,3771,209.326,0.0,725.451
5508,105,5283,97.208,0.0,982.879
5509,9,460,228.937,0.0,627.06
5509,56,2824,46.3588,0.0,418.84
5511,39,2000,26.0831,0.0,796.3
5512,17,883,193.646,0.0,518.18
5512,31,1587,167.549,0.0,304.403
5512,185,9263,190.364,0.0,474.609
5513,9,457,177.579,0.0,660.488
5513,84,4211,171.527,0.0,623.057
5515,48,2424,198.566,0.0,254.37
5515,108,5434,34.3515,0.0,408.925
5515,123,6169,218.894,0.0,437.35
5515,166,8344,123.979,0.0,927.688
5515,205,10255,108.019,0.0,397.755
5521,30,1549,140.07,0.0,756.618
5521,41,2077,156.189,0.0,460.108
5527,86,4330,166.943,0.0,754.688
5531,64,3216,111.869,0.0,660.327
5532,16,842,207.586,0.0,322.504
5536,32,1612,58.617,0.0,502.316
5536,52,2632,146.496,0.0,260.543
5540,19,970,120.965,0.0,187.476
5541,61,3053,125.114,0.0,926.656
5541,80,4044,97.75,0.0,258.018
5541,113,5691,101.035,0.0,945.746
5557,19,982,36.4581,0.0,978.048
5557,24,1238,213.505,0.0,386.463
5557,28,1438,32.3644,0.0,43.1285
5557,144,7250,201.599,0.0,119.951
5561,52,2617,143.05,0.0,285.1
5561,103,5186,119.367,0.0,617.973
5564,61,3086,165.834,0.0,833.056
5564,133,6668,77.5696,0.0,77.3879
5564,169,8451,185.432,0.0,937.714
5566,39,1990,91.7003,0.0,41.5835
5581,47,2377,169.158,0.0,294.89
5586,114,5724,192.792,0.0,428.305
5586,161,8068,134.326,0.0,591.69
5586,169,8491,52.1873,0.0,771.989
5586,174,8740,24.4932,0.0,234.337
5588,48,2430,157.534,0.0,334.689
5588,96,4844,205.158,0.0,474.191
5588,159,7973,37.7754,0.0,301.083
5589,2,142,50.7993,0.0,899.076
5598,36,1814,115.39,0.0,94.839
5598,73,3655,128.584,0.0,281.879
5606,82,4150,119.084,0.0,40.7519
5607,1,66,224.207,0.0,180.597
5607,22,1137,181.718,0.0,133.42
5607,41,2090,140.881,0.0,262.447
5607,62,3107,195.648,0.0,426.336
5607,92,4612,108.521,0.0,229.847
5617,42,2144,222.828,0.0,527.39
5617,47,2395,143.275,0.0,745.082
5647,32,1617,106.638,0.0,260.664
5650,19,974,44.8396,0.0,60.5178
5650,57,2863,77.7985,0.0,367.393
5653,3,192,206.392,0.0,96.5316
5653,19,978,48.2121,0.0,884.08
5653,88,4402,189.115,0.0,866.71
5654,27,1389,120.963,0.0,857.714
5654,40,2027,106.334,0.0,541.502
5656,32,1639,100.582,0.0,636.555
5691,17,864,162.06,0.0,595.769
5691,17,883,223.155,0.0,312.022
5691,138,6949,209.204,0.0,761.498
5694,8,420,88.6637,0.0,548.046
5705,143,7175,205.459,0.0,470.924
5706,16,847,127.466,0.0,436.123
5706,25,1288,136.61,0.0,651.717
5709,41,2080,129.335,0.0,620.344
